"Object","#obs","Arc (h)","RA (hh:mm)","Dec. (deg.)","V (mag)","Rate (""/min.)","Elong. (deg.)","POS Unc. (')","POS Unc.+1 (')","H","Impact Rating","CA Dist. (LD)","MOID (au)","Vinf (km/s)","NEO","NEO > 1km","PHA","IEO","Geo.","TJ < 3","RMS","Last Update (UTC)"
"X81914","3","0.68","11:33","+16","22.1","1.4","144","110","120","19.6","0","","0.2","","90","8","2","0","0","47","0.32","2023-03-28 01:04"
"C92DT12","12","23.36","19:39","+19","21.7","10.8","83","39","47","25.0","0","18","0.03","5.0","100","0","0","0","0","0","0.60","2023-04-03 09:28"
"scax015","8","0.78","06:17","+28","18.0","0.1","72","24","26","14.2","0","","0.05","69.0","83","74","51","0","0","51","0.41","2023-03-31 17:18"
"ZTm0014","4","0.24","22:07","+29","20.0","0.2","50","9.6","14","18.0","","","0.2","","87","36","24","20","0","38","0.22","2023-04-09 21:23"
"AA15A47","5","0.50","13:59","+36","21.5","0.5","135","6.2","9.2","22.5","1","","0.08","","80","0","0","0","0","53","0.20","2023-04-11 11:19"
"RFD0015","5","0.27","12:22","+71","21.2","0.4","100","5.9","9.0","20.1","","","0.1","","72","0","16","0","0","47","0.13","2023-04-10 13:32"
"AA08A45","6","0.87","10:49","+19","20.6","0.4","134","4.7","6.2","19.8","0","","0.09","","70","3","28","0","0","46","0.30","2023-04-11 11:19"
"ZTm0015","7","16.08","03:30","+40","19.8","3.0","43","2.9","7.6","18.0","0","","0.3","","100","44","9","40","0","21","0.17","2023-04-10 20:18"
"LTN63ix","88","4272.55","02:44","-23","20.3","0.2","38","2.8","2.8","9.2","0","","9","","0","0","0","0","0","100","0.24","2023-04-04 07:26"
"P11EjHX","3","0.77","18:11","+39","21.8","0.4","98","2.5","3.4","17.9","0","","0.5","","44","5","20","0","0","66","0.55","2023-04-06 22:04"
"P11DBYi","8","794.41","11:49","+41","22.8","0.5","126","2.2","2.3","21.0","0","","0.5","","0","0","0","0","0","0","0.29","2023-03-18 19:14"
"C92NEL2","4","0.37","11:33","+33","22.0","0.7","131","1.6","3.6","21.5","0","","0.04","43.8","72","0","18","0","0","45","0.66","2023-04-11 12:17"
"C92NT72","3","0.25","17:03","+33","21.7","0.7","113","1.1","2.9","20.4","","","0.08","","68","0","20","0","0","48","0.47","2023-04-11 11:30"
"MHA1060","8","3.40","13:17","-00","21.0","1.4","172","1.0","4.3","23.1","0","","0.1","","85","0","0","0","0","41","0.58","2023-04-11 08:23"
"C92NJN2","8","3.41","12:45","+35","21.3","12.9","136","0.81","3.7","26.3","0","14","0.03","8.9","100","0","0","0","0","0","0.54","2023-04-11 10:20"
"C92MZK2","14","3.27","09:58","+36","20.9","14.3","115","0.55","3.4","25.4","0","11","0.02","11.8","100","0","0","0","0","13","0.81","2023-04-11 08:11"
"xkos314","26","3.90","12:10","+08","18.6","27.1","156","0.11","3.4","24.4","0","15","0.04","13.2","100","0","0","0","0","0","0.21","2023-04-11 23:33"
"A10UeAm","27","263.88","18:39","-36","18.9","0.3","103","0.03","0.04","9.9","0","","5","","0","0","0","0","0","100","0.39","2023-04-08 22:36"
"C92MT72","14","21.80","09:43","+36","20.6","13.8","112","0.01","0.23","23.9","0","29","0.005","10.3","100","0","0","0","0","0","0.92","2023-04-12 02:14"
"P11Ebg3","50","567.25","14:36","-05","19.8","4.0","161","0.01","0.01","17.6","0","","0.8","","0","0","0","0","0","100","0.62","2023-04-11 05:48"
"C8AY5Y2","126","6370.83","19:11","+68","19.4","1.2","83","0.00","0.00","13.6","0","","1","","0","0","0","0","0","100","0.56","2023-04-11 21:50"
"C8Y7YG2","43","2144.05","07:50","+23","21.9","0.4","94","0.00","0.00","14.4","0","","4","","0","0","0","0","0","100","0.64","2023-03-25 23:07"